,theta_2,theta_3,R3,theta_4,R4,R5,h3,f3,h4,f4,f5,h3p,f3p,h4p,f4p,f5p,T,F12,F14,F23,F34,F45
0,0.0,4.844123080731772,3.9999183102256723,4.844123080731772,4.485975955029659,3.7359837211814373,-0.0,0.43301848415107125,-0.0,0.0,0.0,-0.4330184841510712,-0.0,0.0,0.0,-0.0,706.5116174692688,140.7746495053453,102.00715364783237,352.2548975018427,17.75696381484456,98.10000000000001
1,0.01,13.983603285897315,13.255903786808839,13.983603285897319,14.866720027203751,82.76509840561184,-0.0014956642687166412,0.14956144129086446,-0.0,0.0,0.0,-0.149568034479068,-0.0015022574569202082,0.0,0.0,-0.0,710.5226691556688,136.2963408795102,99.31225089980657,354.26042334504274,13.158925632871956,98.10000000000001
2,0.02,14.06505662150354,13.08981385849617,14.065056621503544,14.680447366865048,81.54731815320406,0.0030196498878147134,-0.15096236285463646,-0.0,-0.0,-0.0,0.15096398627683294,0.003021273310011201,0.0,-0.0,-0.0,741.3989863367938,184.63949221564167,199.57080323567783,369.6985819356052,-94.46494782412162,98.10000000000001
3,0.03,8.869712984338385,19.03678920151531,8.869712984338388,21.350080675559138,174.11960302565046,0.0031431295372128555,-0.10473955139235032,-0.0,-0.0,-0.0,0.10473220883322705,0.003135786978089566,0.0,-0.0,-0.0,548.6674996161518,90.30959782490704,147.25236074530295,273.3328385752842,-98.86823032580713,98.10000000000001
4,0.04,8.821586021310322,-2.3514310639995752,8.821586021310326,-2.6371696607015935,202.34434045854712,-0.01792467604795262,0.4478778800214183,0.0,-0.0,0.0,-0.44490889285942453,-0.01495568888595888,-0.0,-0.0,0.0,482.93503335370326,106.78233501771575,104.84206817359797,240.46660544405995,-151.30566987774858,98.10000000000001
5,0.05,8.843132786268775,-2.4255391433711613,8.843132786268779,-2.7202831236151925,202.4452639863408,-0.02337779956005508,0.46716629625463657,0.0,-0.0,0.0,-0.4631352038360002,-0.01934670714141878,-0.0,-0.0,0.0,480.48624499595473,103.14607419132675,101.49710163088325,239.2422112651857,-149.61037312571494,98.10000000000001
6,0.060000000000000005,8.833274317206047,-2.3892991905678906,8.833274317206051,-2.6796394043494076,202.39662149149285,-0.027576441332640343,0.4590556943050351,0.0,-0.0,0.0,-0.45442083689542984,-0.022941583923035035,-0.0,-0.0,0.0,481.91467466863685,104.85113032031538,103.09159523894417,239.95642610152674,-150.427318577154,98.10000000000001
7,0.07,8.837244492721414,-2.4034404853346705,8.837244492721418,-2.695499105317447,202.41572719005495,-0.032454158609805876,0.4628733260937393,0.0,-0.0,0.0,-0.4574146428962871,-0.02699547541235356,-0.0,-0.0,0.0,481.6189141773903,104.18988172635409,102.53997085335357,239.80854585590347,-150.11094794251355,98.10000000000001
8,0.08,8.834977575010623,-2.395266121637114,8.834977575010626,-2.68633141834215,202.40471244529232,-0.03698753712678969,0.46135745866883815,0.0,-0.0,0.0,-0.4552041559019259,-0.030834234359877387,-0.0,-0.0,0.0,482.0426154400695,104.58622191382922,102.95895071295729,240.02039648724306,-150.29414765566833,98.10000000000001
9,0.09,8.835420302594581,-2.396850865470134,8.835420302594585,-2.688108735321758,202.4068510811155,-0.04171307723406327,0.46222656734344647,0.0,-0.0,0.0,-0.4553282880948187,-0.034814797985435526,-0.0,-0.0,0.0,482.08074294631933,104.51569413704286,102.9628505390491,240.039460240368,-150.25570572137627,98.10000000000001
